Column Name,Data Type,Missing Count,Missing Percentage,Unique Values,Sample Values,Description
experiment,str,0,0.0,1,['Experiment 2'],"Experiment identifier (Experiment 1, 2, or 3)"
plant_no,float64,5,7.69,12,"[1.0, 2.0, 3.0, 4.0, 5.0]",Plant identification number within replicate
total_weight_g,float64,0,0.0,55,"[333.0, 342.0, 327.0, 324.0, 280.0]",Total plant weight in grams
plant_height_cm,float64,5,7.69,24,"[64.0, 50.0, 68.0, 67.0, 62.0]",Total plant height in centimeters
shoot_length_cm,float64,5,7.69,12,"[15.0, 21.0, 19.0, 20.0, 17.5]",Shoot (above-root) length in centimeters
root_length_cm,float64,5,7.69,32,"[49.0, 43.0, 45.0, 31.0, 47.0]",Root length in centimeters
head_diameter_cm,str,5,7.69,31,"['33*28', '30*28', '28*28', '28*26', '28*33']",Head diameter in centimeters (often W*H format)
stem_diameter_cm,float64,5,7.69,4,"[2.0, 2.5, 1.8, 1.5]",Stem diameter in centimeters
shoot_weight_before_removing_wilted_leaves_g,float64,5,7.69,46,"[290.0, 302.0, 288.0, 282.0, 246.0]",Shoot weight before removing wilted leaves (g)
shoot_weight_after_removing_wilted_leavesg,float64,5,7.69,50,"[290.0, 300.0, 280.0, 275.0, 245.0]",Shoot weight after removing wilted leaves (g)
root_weight_g,float64,5,7.69,26,"[43.0, 40.0, 39.0, 42.0, 34.0]",Root weight in grams
no_of_leaves,float64,5,7.69,18,"[39.0, 46.0, 42.0, 43.0, 40.0]",Number of leaves counted
system,str,0,0.0,5,"['R2-T1', 'R3-T1', 'R1-T2', 'R2-T2', 'R3-T2']","Replicate-Treatment system code (e.g., R1T1)"
