Column Name,Data Type,Missing Count,Missing Percentage,Unique Values,Sample Values,Description
experiment,str,0,0.0,1,['Experiment 2'],"Experiment identifier (Experiment 1, 2, or 3)"
,str,11,100.0,0,[],
1,int64,0,0.0,11,"[2, 3, 4, 5, 6]",
11,float64,0,0.0,4,"[13.0, 12.5, 12.0, 14.0]",
5,int64,0,0.0,4,"[7, 5, 6, 8]",
6,float64,0,0.0,4,"[6.0, 7.5, 8.0, 7.0]",
7*8,str,0,0.0,11,"['6*7', '5*6', '7*8', '6*4', '6*4.5']",
03,float64,0,0.0,2,"[0.3, 0.2]",
513,float64,0,0.0,11,"[5.0, 5.25, 4.85, 5.36, 3.9]",
241,float64,0,0.0,11,"[2.14, 1.58, 2.45, 1.93, 1.74]",
27199999999999998,float64,0,0.0,11,"[2.86, 3.67, 2.3999999999999995, 3.4300000000000006, 2.16]",
7,int64,0,0.0,4,"[7, 5, 6, 8]",
