Column Name,Data Type,Missing Count,Missing Percentage,Unique Values,Sample Values,Description
experiment,str,0,0.0,1,['Experiment 1'],"Experiment identifier (Experiment 1, 2, or 3)"
replicate,str,0,0.0,1,['pH'],Replicate/treatment system identifier
,str,640,100.0,0,[],
_1,str,640,100.0,0,[],
_2,str,640,100.0,0,[],
_3,str,640,100.0,0,[],
_4,str,640,100.0,0,[],
_5,str,640,100.0,0,[],
2024-03-10_00:00:00,str,1,0.16,29,"['2024-03-10 00:00:00', '2024-03-11 00:00:00', '2024-03-12 00:00:00', '2024-03-13 00:00:00', '2024-03-14 00:00:00']",
_6,str,0,0.0,24,"['10:00:00', '11:00:00', '12:00:00', '13:00:00', '14:00:00']",
_7,float64,0,0.0,554,"[49.08, 47.51, 46.8, 47.12, 47.64]",
_8,float64,0,0.0,512,"[24.18, 23.55, 23.81, 24.48, 24.74]",
40696,float64,1,0.16,619,"[406.55, 413.38, 412.5, 408.94, 410.58]",
