Column Name,Data Type,Missing Count,Missing Percentage,Unique Values,Sample Values,Description
experiment,str,0,0.0,1,['Experiment 2'],"Experiment identifier (Experiment 1, 2, or 3)"
replicate,str,0,0.0,1,['pH.'],Replicate/treatment system identifier
,str,717,100.0,0,[],
_1,str,717,100.0,0,[],
_2,str,717,100.0,0,[],
_3,str,717,100.0,0,[],
_4,str,717,100.0,0,[],
_5,str,717,100.0,0,[],
2024-04-16_00:00:00,str,0,0.0,32,"['2024-04-16 00:00:00', '2024-04-17 00:00:00', '2024-04-18 00:00:00', '2024-04-19 00:00:00', '2024-04-20 00:00:00']",
10:00:00,str,0,0.0,24,"['11:00:00', '12:00:00', '13:00:00', '14:00:00', '15:00:00']",
5777,float64,0,0.0,590,"[54.0, 52.89, 52.01, 52.46, 54.08]",
2828,float64,0,0.0,543,"[28.57, 27.68, 28.29, 27.32, 25.53]",
4857,float64,0,0.0,680,"[463.92, 450.51, 444.88, 440.13, 437.41]",
